LanguageHaveWorkedWith
Bash/Shell (all shells)
Go
HTML/CSS
Java
JavaScript
Python
TypeScript
C#
HTML/CSS
JavaScript
TypeScript
JavaScript
Python
Ruby
C
C#
C++
Delphi
HTML/CSS
Java
JavaScript
PowerShell
SQL
TypeScript
VBA
Visual Basic (.Net)
C#
HTML/CSS
JavaScript
PHP
Python
SQL
Bash/Shell (all shells)
C#
F#
JavaScript
PowerShell
SQL
HTML/CSS
JavaScript
PHP
Python
SQL
C#
HTML/CSS
JavaScript
Python
Scala
SQL
Bash/Shell (all shells)
C#
HTML/CSS
JavaScript
PHP
PowerShell
Python
SQL
C#
HTML/CSS
JavaScript
SQL
Bash/Shell (all shells)
JavaScript
PHP
SQL
TypeScript
Bash/Shell (all shells)
C#
C++
HTML/CSS
PowerShell
Python
SQL
VBA
Bash/Shell (all shells)
C#
Java
OCaml
SQL
HTML/CSS
JavaScript
Python
Ruby
SQL
TypeScript
HTML/CSS
JavaScript
Ruby
SQL
Assembly
C#
C++
HTML/CSS
JavaScript
MATLAB
Python
SQL
VBA
C#
HTML/CSS
JavaScript
SQL
TypeScript
C#
Dart
Fortran
Go
Julia
Python
SQL
VBA
Bash/Shell (all shells)
C#
Go
HTML/CSS
JavaScript
PowerShell
Python
Rust
SQL
TypeScript
VBA
C
HTML/CSS
Java
JavaScript
PowerShell
SQL
TypeScript
C++
HTML/CSS
JavaScript
Kotlin
Lua
PowerShell
Python
SQL
TypeScript
C#
JavaScript
SQL
TypeScript
Java
C#
PowerShell
SQL
Ada
Assembly
Bash/Shell (all shells)
C
C++
Clojure
Crystal
Dart
Elixir
Erlang
Fortran
Go
Groovy
Haskell
HTML/CSS
Java
JavaScript
Julia
Kotlin
Lisp
Lua
OCaml
Perl
PowerShell
Python
R
Rust
Scala
SQL
TypeScript
Zig
Bash/Shell (all shells)
C++
HTML/CSS
JavaScript
Python
SQL
TypeScript
Bash/Shell (all shells)
HTML/CSS
Java
JavaScript
Python
SQL
Bash/Shell (all shells)
C#
HTML/CSS
JavaScript
PowerShell
Python
SQL
TypeScript
C
C#
HTML/CSS
Java
Python
SQL
Bash/Shell (all shells)
HTML/CSS
JavaScript
Kotlin
TypeScript
C
C#
C++
Elixir
Erlang
Go
HTML/CSS
Java
JavaScript
PHP
Python
R
Ruby
SQL
TypeScript
VBA
Visual Basic (.Net)
C#
Go
Python
SQL
Bash/Shell (all shells)
HTML/CSS
JavaScript
SQL
C#
HTML/CSS
JavaScript
PowerShell
Python
SQL
TypeScript
HTML/CSS
Java
JavaScript
Python
TypeScript
Go
Python
C#
C++
HTML/CSS
JavaScript
PowerShell
SQL
Bash/Shell (all shells)
C#
HTML/CSS
JavaScript
SQL
JavaScript
TypeScript
Bash/Shell (all shells)
C#
HTML/CSS
Java
JavaScript
PHP
PowerShell
Python
Rust
SQL
Bash/Shell (all shells)
HTML/CSS
Java
JavaScript
TypeScript
Bash/Shell (all shells)
HTML/CSS
Java
JavaScript
PHP
PowerShell
Python
SQL
TypeScript
C
HTML/CSS
Java
JavaScript
PHP
SQL
TypeScript
Bash/Shell (all shells)
HTML/CSS
JavaScript
PHP
Python
SQL
TypeScript
C#
HTML/CSS
JavaScript
SQL
TypeScript
Bash/Shell (all shells)
HTML/CSS
Java
JavaScript
PHP
PowerShell
Python
SQL
TypeScript
C#
HTML/CSS
JavaScript
SQL
HTML/CSS
JavaScript
SQL
TypeScript
Lua
Python
TypeScript
C#
HTML/CSS
JavaScript
SQL
TypeScript
HTML/CSS
JavaScript
PHP
TypeScript
C#
Go
Groovy
HTML/CSS
Java
JavaScript
SQL
Bash/Shell (all shells)
C++
HTML/CSS
Java
JavaScript
Prolog
Python
R
SQL
TypeScript
C#
HTML/CSS
JavaScript
PHP
PowerShell
SQL
C#
HTML/CSS
JavaScript
SQL
TypeScript
Visual Basic (.Net)
Bash/Shell (all shells)
HTML/CSS
JavaScript
Kotlin
Python
Rust
SQL
TypeScript
Go
HTML/CSS
JavaScript
SQL
TypeScript
C#
HTML/CSS
JavaScript
PHP
SQL
TypeScript
Visual Basic (.Net)
C#
Go
HTML/CSS
Java
JavaScript
PowerShell
SQL
Dart
HTML/CSS
Java
JavaScript
SQL
TypeScript
HTML/CSS
Java
JavaScript
SQL
C#
HTML/CSS
JavaScript
Lua
PowerShell
SQL
TypeScript
VBA
Visual Basic (.Net)
Bash/Shell (all shells)
Go
HTML/CSS
JavaScript
PowerShell
Python
SQL
TypeScript
JavaScript
PHP
Python
Rust
Bash/Shell (all shells)
C
C#
Go
HTML/CSS
JavaScript
Python
SQL
VBA
Visual Basic (.Net)
Bash/Shell (all shells)
JavaScript
Python
Rust
JavaScript
PHP
SQL
C#
Go
JavaScript
PowerShell
TypeScript
C#
C++
F#
JavaScript
PowerShell
SQL
TypeScript
C#
HTML/CSS
JavaScript
SQL
TypeScript
Bash/Shell (all shells)
HTML/CSS
JavaScript
Python
SQL
Bash/Shell (all shells)
Go
HTML/CSS
Rust
TypeScript
HTML/CSS
JavaScript
Ruby
SQL
TypeScript
Bash/Shell (all shells)
C
C++
Dart
Go
HTML/CSS
Java
JavaScript
SQL
TypeScript
C#
HTML/CSS
JavaScript
SQL
TypeScript
JavaScript
PHP
SQL
Bash/Shell (all shells)
C#
C++
HTML/CSS
Java
JavaScript
PHP
PowerShell
Python
SQL
TypeScript
Assembly
C
C#
HTML/CSS
Java
JavaScript
MATLAB
PowerShell
SQL
TypeScript
Visual Basic (.Net)
Bash/Shell (all shells)
Java
Python
SQL
HTML/CSS
JavaScript
TypeScript
C
C#
Dart
HTML/CSS
JavaScript
PHP
PowerShell
Python
Rust
SQL
TypeScript
C#
C++
Java
Lua
PowerShell
Python
SQL
JavaScript
Python
SQL
TypeScript
C#
JavaScript
PowerShell
SQL
TypeScript
Bash/Shell (all shells)
C#
HTML/CSS
Java
JavaScript
Kotlin
PowerShell
SQL
C#
HTML/CSS
JavaScript
PHP
Python
SQL
Bash/Shell (all shells)
C#
HTML/CSS
Java
JavaScript
Lua
PHP
Python
SQL
TypeScript
Bash/Shell (all shells)
HTML/CSS
JavaScript
Python
SQL
TypeScript
Bash/Shell (all shells)
Java
Python
C#
HTML/CSS
JavaScript
PHP
Python
SQL
Go
JavaScript
Lua
PHP
SQL
Bash/Shell (all shells)
HTML/CSS
JavaScript
SQL
TypeScript
Go
JavaScript
Python
TypeScript
Java
JavaScript
Rust
Scala
TypeScript
Go
HTML/CSS
JavaScript
TypeScript
Elixir
HTML/CSS
JavaScript
PHP
Bash/Shell (all shells)
C#
HTML/CSS
JavaScript
Rust
SQL
TypeScript
C#
Delphi
Go
SQL
HTML/CSS
JavaScript
PHP
Python
SQL
TypeScript
Bash/Shell (all shells)
C
C++
Go
Groovy
HTML/CSS
Java
JavaScript
Kotlin
Lua
Perl
PowerShell
Python
Ruby
Rust
SQL
TypeScript
C#
Java
JavaScript
Python
SQL
Bash/Shell (all shells)
HTML/CSS
JavaScript
PHP
SQL
JavaScript
Solidity
TypeScript
C
C#
C++
HTML/CSS
JavaScript
PowerShell
Python
SQL
TypeScript
Visual Basic (.Net)
Bash/Shell (all shells)
Groovy
Java
JavaScript
Python
SQL
TypeScript
C
C++
HTML/CSS
Java
JavaScript
Perl
PHP
Python
R
Ruby
SQL
C++
HTML/CSS
JavaScript
PHP
Bash/Shell (all shells)
C
C#
C++
HTML/CSS
Java
JavaScript
Kotlin
Objective-C
PHP
PowerShell
Python
Ruby
SQL
Swift
TypeScript
VBA
Visual Basic (.Net)
HTML/CSS
JavaScript
PHP
TypeScript
HTML/CSS
Java
JavaScript
C#
Kotlin
Swift
TypeScript
C#
JavaScript
Ruby
JavaScript
Julia
Python
SQL
TypeScript
C#
Go
HTML/CSS
JavaScript
PowerShell
Python
SQL
TypeScript
Python
HTML/CSS
JavaScript
Lua
TypeScript
HTML/CSS
JavaScript
Ruby
TypeScript
C#
HTML/CSS
Java
JavaScript
MicroPython
Python
TypeScript
JavaScript
TypeScript
Bash/Shell (all shells)
C#
HTML/CSS
JavaScript
PowerShell
SQL
TypeScript
Assembly
C#
C++
Go
HTML/CSS
Java
JavaScript
Kotlin
PHP
SQL
Bash/Shell (all shells)
C++
Go
HTML/CSS
Java
JavaScript
Kotlin
PowerShell
Python
Rust
Scala
SQL
TypeScript
Bash/Shell (all shells)
C
C#
C++
HTML/CSS
Java
JavaScript
MATLAB
Perl
Prolog
Python
R
TypeScript
Ada
Assembly
Bash/Shell (all shells)
C
C#
C++
Dart
Delphi
HTML/CSS
Java
JavaScript
MATLAB
Perl
PHP
PowerShell
Python
SQL
VBA
Visual Basic (.Net)
Bash/Shell (all shells)
C
GDScript
Go
HTML/CSS
JavaScript
Lua
Python
Rust
SQL
TypeScript
Bash/Shell (all shells)
Elixir
JavaScript
TypeScript
Bash/Shell (all shells)
Groovy
HTML/CSS
Java
JavaScript
PHP
Python
SQL
TypeScript
Go
Java
Prolog
Python
Bash/Shell (all shells)
HTML/CSS
JavaScript
PHP
PowerShell
SQL
TypeScript
Bash/Shell (all shells)
C#
C++
Go
HTML/CSS
JavaScript
PowerShell
SQL
C#
Go
HTML/CSS
JavaScript
SQL
TypeScript
C#
HTML/CSS
JavaScript
Bash/Shell (all shells)
C#
HTML/CSS
PowerShell
Python
Rust
SQL
TypeScript
HTML/CSS
Java
JavaScript
Kotlin
SQL
Bash/Shell (all shells)
C#
Dart
Go
HTML/CSS
JavaScript
Kotlin
PHP
PowerShell
SQL
Swift
TypeScript
C#
C++
Delphi
HTML/CSS
Java
JavaScript
PHP
Python
SQL
TypeScript
C#
HTML/CSS
JavaScript
Python
SQL
TypeScript
Visual Basic (.Net)
Bash/Shell (all shells)
HTML/CSS
Java
JavaScript
SQL
C#
C++
HTML/CSS
JavaScript
SQL
TypeScript
Java
Python
Fortran
HTML/CSS
JavaScript
Python
SQL
TypeScript
Bash/Shell (all shells)
HTML/CSS
Java
TypeScript
Bash/Shell (all shells)
Go
HTML/CSS
JavaScript
Python
Java
HTML/CSS
JavaScript
SQL
TypeScript
Bash/Shell (all shells)
Java
JavaScript
TypeScript
HTML/CSS
JavaScript
Python
TypeScript
HTML/CSS
JavaScript
PHP
TypeScript
HTML/CSS
Java
JavaScript
SQL
TypeScript
JavaScript
TypeScript
Bash/Shell (all shells)
Go
HTML/CSS
Java
JavaScript
Perl
Python
SQL
Assembly
Bash/Shell (all shells)
C
C++
Go
HTML/CSS
Java
JavaScript
Julia
Lua
Python
C#
HTML/CSS
JavaScript
SQL
C#
GDScript
HTML/CSS
JavaScript
Lua
PowerShell
C#
JavaScript
MATLAB
Bash/Shell (all shells)
HTML/CSS
Java
JavaScript
Kotlin
Perl
PHP
